rank,topic,category,type,priority_tier,volume,top_matching_keyword,status
1,Face Wash / Cleanser,Skincare,New Product/Ingredient,P0,5912300,cetaphil cleanser,Already Doing
2,Perfumes,Fragrance,Baseline,P0,5628680,perfume,Already Doing
3,Sun Care,Skincare,Baseline,P0,3909400,sunscreen,Already Doing
4,Shampoo,Hair Care,Baseline,P0,3831520,loreal shampoo,Already Doing
5,Skin Serums,Skincare,Baseline,P0,2900400,vitamin c serum,Already Doing
6,Moisturizer,Skincare,Baseline,P0,2803680,moisturizer,Already Doing
7,Lip Stick,Lips,Baseline,P0,2582520,lipstick,Already Doing
8,Cetaphil,Other/Brand,3rd Party Brand,P0,2417800,cetaphil cleanser,Already Doing
9,Trimmer,Other/Brand,Men's Grooming,P0,1859880,trimmer for men,Already Doing
10,Hair Styling Tools (Blow Dryer / Straightening Brush),Hair Care,New Product/Ingredient,P0,1459500,hair styler,Already Doing
11,Hair Color,Other/Brand,Baseline,P0,1442280,hair color,Already Doing
12,Soaps,Body Care,Baseline,P0,1421600,ghar soaps,Already Doing
13,Oily skin,Other/Brand,AEO Concern Topic,P0,1365500,cetaphil oily skin cleanser,Already Doing
14,Mamaearth,Other/Brand,3rd Party Brand,P0,1322000,mamaearth,Already Doing
15,Lips,Other/Brand,Baseline,P0,1241400,lip balms,Already Doing
16,Lakme,Other/Brand,3rd Party Brand,P0,1197400,lakme,Already Doing
17,Eye Kajal,Eye Makeup,Baseline,P0,1090680,kajal,Already Doing
18,Foundation Cosmetics,Face Makeup,Baseline,P0,1049300,foundation,Already Doing
19,Vitamin C,Skincare,Baseline,P0,1043400,vitamin c serum,Already Doing
20,Dry skin,Other/Brand,AEO Concern Topic,P0,1041800,moisturiser for dry skin,Already Doing
21,Hair Styling Products,Hair Care,Baseline,P0,1021400,hair styler,Already Doing
22,Hair growth,Other/Brand,AEO Concern Topic,P0,867200,serum for hair growth,Already Doing
23,Loreal,Other/Brand,3rd Party Brand,P0,757600,loreal shampoo,Already Doing
24,Himalaya,Other/Brand,3rd Party Brand,P0,748600,himalaya,Already Doing
25,Body Lotions & Moisturizers,Skincare,Baseline,P0,726780,vaseline body lotion,Already Doing
